Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Clementi 321,Ne-Zha-2-PG13,2025-03-10T20:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6020,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,7,67,12,8,0,2,0,0,19,77,96,0.2
Downtown East,Ne-Zha-2-PG13,2025-03-10T20:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118074,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,7,129,6,36,0,2,0,0,13,167,180,0.07
JEM,Ne-Zha-2-PG13,2025-03-10T20:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201695,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,16,158,10,26,0,1,0,0,26,185,211,0.12
Downtown East,Mickey-17-M18,2025-03-10T20:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118059,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,4,64,4,36,0,1,0,0,8,101,109,0.07
Causeway Point,Ne-Zha-2-PG13,2025-03-10T20:45:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154361,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,11,115,22,32,0,2,0,0,33,149,182,0.18
Causeway Point,Ne-Zha-2-PG13,2025-03-10T22:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154377,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,11,133,10,34,0,0,0,0,21,167,188,0.11
JEM,Ne-Zha-2-PG13,2025-03-10T22:10:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201739,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,7,119,2,30,0,0,0,0,9,149,158,0.06
JEM,Dragon-Tamil-PG13,2025-03-10T22:10:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201894,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21-Feb-25,3,81,2,22,0,0,0,0,5,103,108,0.05
Causeway Point,Ne-Zha-2-PG13,2025-03-10T22:30:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1102/154372,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,24,0,0,0,0,0,0,0,24,0,24,1
JEM,Ne-Zha-2-PG13,2025-03-10T22:30:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1110/201630,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,0,2,8,14,0,0,0,0,8,16,24,0.33
Causeway Point,In-the-Lost-Lands-NC16,2025-03-10T22:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154357,"Action, Fantasy",English,"NC16, Violence",101 mins,6-Mar-25,0,144,0,44,0,2,0,0,0,190,190,0
JEM,Nosferatu-M18,2025-03-10T22:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201906,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27-Feb-25,5,121,4,28,0,0,0,0,9,149,158,0.06
