Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T16:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6559,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,1,65,2,16,0,2,0,0,3,83,86,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-24T16:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154959,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,21,181,0,42,0,2,0,0,21,225,246,0.09
Century Square,Ne-Zha-2-PG13,2025-03-24T16:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13699,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,11,89,6,4,0,2,0,4,17,99,116,0.15
Clementi 321,Ne-Zha-2-PG13,2025-03-24T16:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6538,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,62,2,18,0,2,0,0,2,82,84,0.02
JEM,Ne-Zha-2-PG13,2025-03-24T16:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202502,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,2,19,0,0,0,0,2,21,23,0.09
JEM,Dog-Man-PG,2025-03-24T16:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202613,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,126,2,30,0,0,0,0,2,156,158,0.01
Clementi 321,Ne-Zha-2-PG13,2025-03-24T16:40:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6621,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,23,0,0,0,0,0,0,1,23,24,0.04
Causeway Point,Mickey-17-M18,2025-03-24T16:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154977,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,6,124,4,24,0,0,0,0,10,148,158,0.06
Downtown East,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-24T16:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118563,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,5,91,0,40,0,1,0,0,5,132,137,0.04
JEM,Ne-Zha-2-PG13,2025-03-24T16:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202748,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,4,214,2,62,0,1,0,0,6,277,283,0.02
Clementi 321,Mickey-17-M18,2025-03-24T16:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6647,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,5,43,0,12,0,2,0,0,5,57,62,0.08
